"","group_name","subgroup_name","item_name","item_url","descripcion"
"1","Miracles","Miracles","Braille Divine Tome of Carim","https://darksouls3.wiki.fextralife.com/Braille+Divine+Tome+of+Carim","A sacred braille tome from Carim, filled with advanced miracles.Give to a storyteller to learn advanced Carim miracles.In the Way of White, there is a tradition of placing great faith in the words of the blind, and braille tomes are not unusual."
"2","Miracles","Miracles","Londor Braille Divine Tome","https://darksouls3.wiki.fextralife.com/Londor+Braille+Divine+Tome","A braille tome of Londor, first spoken by Liliane of the Sable Church.Give this to a storyteller to learn miracles of Londor.This is a forbidden tome, as it offers salvation to all Hollows, and conversely curses all things living."
"3","Miracles","Miracles","Deep Braille Divine Tome","https://darksouls3.wiki.fextralife.com/Deep+Braille+Divine+Tome","A braille divine tome of the Deep, belonging to the deacons of the cathedral. Intended to teach divine protection to the deacons of the deep, but later, dark tales were added to its pages, such that it is now considered a thing profane."
"4","Miracles","Miracles","Braille Divine Tome of Lothric","https://darksouls3.wiki.fextralife.com/Braille+Divine+Tome+of+Lothric","A sacred braille tome from Lothric, filled with miracles for use by knights.Give to a storyteller to learn Lothric miracles.It is said that no paladin inside Lothric castle could fall, owing to the divine protection they enjoyed."
"5","Miracles","Miracles","Heal Aid","https://darksouls3.wiki.fextralife.com/Heal+Aid","Miracle imparted as charity to those of little faith. A show of tolerance from the Way of White.Slightly restores HP.To use miracles, equip a talisman or sacred chime and attune a miracle at a bonfire."
"6","Miracles","Miracles","Heal","https://darksouls3.wiki.fextralife.com/Heal","Elementary miracle cast by clerics. Restores HP for self and those in the vicinity.To use miracles, equip a talisman or sacred chime and attune a miracle at a bonfire."
"7","Miracles","Miracles","Med Heal","https://darksouls3.wiki.fextralife.com/Med+Heal","Miracle superior to Heal. Restores moderate HP for self and those in the vicinity.Miracles are fruit of the study of divine tales, a blessing received from the gods, through acts of prayer. Miracle strength depends on the caster's faith."
"8","Miracles","Miracles","Great Heal","https://darksouls3.wiki.fextralife.com/Great+Heal","Glorious miracle used by high-ranking clerics. Restores a large amount of HP for self and those in the vicinity.Only a select few have learned to recite this epic tale in its entirety, but those who do are amply rewarded."
"9","Miracles","Miracles","Soothing Sunlight","https://darksouls3.wiki.fextralife.com/Soothing+Sunlight","Special miracle granted to the maidens of the Princess of Sunlight. Restores a large amount of HP for self and those in the general area. The miracles of Gwynevere, the princess cherished by all, bestow their blessing on a great many warriors."
"10","Miracles","Miracles","Replenishment","https://darksouls3.wiki.fextralife.com/Replenishment","Miracle once cherished by cleric knights. Gradually restores HP. Replenishment is a relic of the old Lloyd faith, whose cleric knights were unfaltering in battle."
"11","Miracles","Miracles","Bountiful Light","https://darksouls3.wiki.fextralife.com/Bountiful+Light","Miracle taught to knights by Gertrude, holy maiden to the Queen.Gradually restores a large amount of HP.The Heavenly Daughter is said to be the Queen's child."
"12","Miracles","Miracles","Bountiful Sunlight","https://darksouls3.wiki.fextralife.com/Bountiful+Sunlight","Special Miracle granted by the Princess of Sunlight.Gradually restores a large amount of HP for self and those in the vicinity.The miracles of Gwynevere, loved as both mother and wife bestow their blessing on a great many warriors."
"13","Miracles","Miracles","Caressing Tears","https://darksouls3.wiki.fextralife.com/Caressing+Tears","Miracle taught by Morne, the Archbishop's apostle. Cures bleeding, poison and frost for self and those in the vicinity. Caressing Tears is a tale of the many deaths surrounding the goddess Caitha, of whom Morne was a known follower."
"14","Miracles","Miracles","Tears of Denial","https://darksouls3.wiki.fextralife.com/Tears+of+Denial","Miracle taught by Morne, the Archbishop's apostle. Grants one chance to endure when HP reaches 0. Intended to grant the dying a few moments for a final farewell. Tears are shed for the sake of the living, more so than the deceased."
"15","Miracles","Miracles","Homeward","https://darksouls3.wiki.fextralife.com/Homeward","Miracle taught to traveling clerics. Returns caster to the last bonfire used for resting, or to the bonfire in the shrine.It would normally link to one's homeland, only the curse of the Undead has twisted its power, redirecting casters to a bonfire. Perhaps for the Undead, the bonfire serves as home."
"16","Miracles","Miracles","Seek Guidance","https://darksouls3.wiki.fextralife.com/Seek+Guidance","Miracle of stray souls. Displays more help from other worlds and reveals summon signs without using an ember.Faith serves as a guide for clerics, meaning they should have no need for secondhand wisdom.Be that as it may, this miracle has been passed down from soul to soul, providing a tiny ray of hope for the lost."
"17","Miracles","Miracles","Sacred Oath","https://darksouls3.wiki.fextralife.com/Sacred+Oath","Miracle of those chosen by the Sunlight covenant.Temporarily boosts attack and damage absorption for self and those in vicinity.This is the tale of the Sun's firstborn, his faithful first knight, and the brave dragonslayer who served them both."
"18","Miracles","Miracles","Force","https://darksouls3.wiki.fextralife.com/Force","Elementary miracle among clerics.Creates a shockwave.While it inflicts no direct damage, this miracle propels foes back, staggering them. Can also defend against incoming arrows."""
"19","Miracles","Miracles","Emit Force","https://darksouls3.wiki.fextralife.com/Emit+Force","Traditional miracle of Catarina. Releases a shockwave in front.The people of lands known for festivity and drink are typically outspoken. One can be sure that they will not bottle their emotions, instead venting anger and the like with confidence."
"20","Miracles","Miracles","Wrath of the Gods","https://darksouls3.wiki.fextralife.com/Wrath+of+the+Gods","Primal form of Force. Creates a powerful shockwave.Wrath of the Gods is an epic tale, while Force is but a woefully incomplete version of that yarn. This primal account of profound fury emits a shockwave that also inflicts damage."
"21","Miracles","Miracles","Lightning Spear","https://darksouls3.wiki.fextralife.com/Lightning+Spear","Miracle allegedly used by Warriors of Sunlight.Hurls a lightning spear.The spears inflict lightning damage, providing an effective counter to magic or fire. Especially powerful against metal armor and dragons."
"22","Miracles","Miracles","Great Lightning Spear","https://darksouls3.wiki.fextralife.com/Great+Lightning+Spear","Primal account of Lightning Spear, which tells of an ancestral dragonslayer. Hurls a giant lightning spear. Gwyn, the First Lord, slew dragons with his sunlight spear, a tradition upheld by his firstborn and the greatspear he wielded. Much of this resplendent tale of father and son, while epic, remains tragically untold."
"23","Miracles","Miracles","Sunlight Spear","https://darksouls3.wiki.fextralife.com/Sunlight+Spear","Miracle of Gwyn, the First Lord. Hurls a sunlight spear.The tales of Gwyn's Archdragon hunts describe the inception of the Age of Fire."
